#Age (Myr)	d18O(‰)
5.294	2.83
5.297	2.93
5.3	2.99
5.303	2.93
5.306	2.86
5.309	2.8
5.312	2.86
5.315	2.75
5.318	2.89
5.321	2.79
5.324	2.68
5.327	2.64
5.33	2.47
5.333	2.87
5.336	2.87
5.339	2.93
5.342	2.92
5.345	2.94
5.348	2.89
5.351	2.93
5.354	3.14
5.357	3.06
5.36	2.9
5.363	2.94
5.366	3.07
5.369	2.96
5.372	2.94
5.375	2.99
5.378	2.91
5.381	2.97
5.384	2.8
5.387	2.82
5.39	2.78
5.393	2.69
5.396	2.73
5.399	2.83
5.402	2.95
5.405	2.85
5.408	2.98
5.411	2.92
5.414	2.9
5.417	3.03
5.42	3.05
5.423	2.97
5.426	2.82
5.429	2.8
5.432	3.05
5.435	3.02
5.438	3.09
5.441	2.82
5.444	2.78
5.447	2.84
5.45	2.89
5.453	2.93
5.456	2.89
5.459	2.51
5.462	2.6
5.465	2.9
5.468	2.8
5.471	2.77
5.474	2.43
5.477	2.63
5.48	2.78
5.483	2.62
5.486	2.77
5.489	2.9
5.492	2.95
5.495	3
5.498	3.1
5.501	3.04
5.504	2.93
5.507	2.86
5.51	2.87
5.513	2.95
5.516	2.99
5.519	2.99
5.522	2.83
5.525	2.68
5.528	2.76
5.531	2.92
5.534	3.04
5.537	3.19
5.54	3.24
5.543	3.18
5.546	3.08
5.549	2.9
5.552	2.93
5.555	3.04
5.558	3.09
5.561	3.24
5.564	3.16
5.567	3.17
5.57	3.31
5.573	3.24
5.576	3.05
5.579	3.03
5.582	2.99
5.585	3.03
5.588	2.97
5.591	3.06
5.594	3.03
5.597	3.02
5.6	3.07
5.603	2.99
5.606	2.81
5.609	2.87
5.612	2.88
5.615	2.92
5.618	3.02
5.621	3.08
5.624	3.11
5.627	2.96
5.63	3.08
5.633	3.17
5.636	3.19
5.639	3.14
5.642	3.1
5.645	3.09
5.648	3.11
5.651	3.25
5.654	3.3
5.657	3.08
5.66	2.88
5.663	3.02
5.666	3.01
5.669	3.07
5.672	3.18
5.675	3.23
5.678	3.08
5.681	3.28
5.684	3.36
5.687	3.19
5.69	3.31
5.693	3.29
5.696	3.19
5.699	3.06
5.702	3.04
5.705	3.09
5.708	3.13
5.711	3.55
5.72	3.2
5.723	2.95
5.726	3.12
5.729	3.3
5.732	3.31
5.735	3.19
5.738	3.05
5.741	3
5.744	3.15
5.747	3.14
5.75	3.14
5.753	3.36
5.756	3.23
5.759	3.01
5.762	3.06
5.765	3.13
5.768	3.15
5.771	3.04
5.774	3.02
5.777	3.02
5.78	2.92
5.783	2.96
5.786	3
5.789	3.08
5.792	3.08
5.795	3.04
5.798	3.03
5.801	3.04
5.804	3.11
5.807	2.96
5.81	3.03
5.813	3
5.816	3.02
5.819	3.18
5.822	3.18
5.825	3.08
5.828	3.04
5.831	2.96
5.834	3.04
5.837	3.12
5.84	3.18
5.843	3.29
5.846	3.06
5.849	3.14
5.852	3.09
5.855	3.17
5.858	3.08
5.861	2.95
5.864	3.08
5.867	3.11
5.87	3.04
5.873	3.08
5.876	2.95
5.879	2.99
5.882	2.95
5.885	3.18
5.888	3.22
5.891	3.14
5.894	3.09
5.897	3.13
5.9	3.2
5.903	3.29
5.906	3.11
5.909	3.12
5.912	3.19
5.915	3.07
5.918	3.13
5.921	3.16
5.924	3.17
5.927	3.17
5.93	3.23
5.933	3.22
5.936	3.1
5.939	3.17
5.942	3.19
5.945	2.96
5.948	2.94
5.951	2.99
5.954	3.07
5.957	3.05
5.96	2.99
5.963	3.06
5.966	3.04
5.969	3.1
5.972	3.17
5.975	3.05
5.978	3.08
5.981	3.1
5.984	2.91
5.987	2.75
5.99	2.98
5.993	3.11
5.996	3.13
5.999	2.87
6.002	3.01
6.005	3.06
6.008	3.07
6.011	2.94
6.014	2.85
6.017	3.02
6.02	3.11
6.023	3.07
6.026	2.94
6.029	3.01
6.032	3.09
6.035	2.99
6.038	3.03
6.041	3
6.044	3.14
6.047	3.14
6.05	3
6.053	3.09
6.056	2.86
6.059	2.7
6.062	2.85
6.065	2.93
6.068	2.97
6.071	2.85
6.074	2.79
6.077	2.73
6.08	2.82
6.083	3.01
6.086	2.99
6.089	2.98
6.092	2.88
6.095	2.97
6.098	2.95
6.101	2.96
6.104	2.95
6.107	2.98
6.11	3.02
6.113	3.01
6.116	2.97
6.119	2.86
6.122	2.98
6.125	3.17
6.128	3.42
6.131	3.41
6.134	3.35
6.137	3.29
